stdDay,areaName,nationName,defCnt,dayDefCnt,deathCnt,dayDeathCnt
2021-01-02,기타,"기타지역 영토",321938,2353,3883,51
2021-01-02,아프리카,레소토,2577,0,50,0
2021-01-02,아프리카,코모로,765,0,9,0
2021-01-02,아프리카,상투메프린시페,1014,0,17,0
2021-01-02,아프리카,남수단,3558,18,63,0
2021-01-02,아프리카,말라위,6583,112,189,0
2021-01-02,아프리카,시에라리온,2560,0,76,0
2021-01-02,아프리카,브룬디,822,4,2,0
2021-01-02,아프리카,보츠와나,14025,0,40,0
2021-01-02,아프리카,말리,7090,61,269,0
2021-01-02,아프리카,기니비사우,2447,0,45,0
2021-01-02,아프리카,모잠비크,18642,269,166,3
2021-01-02,아프리카,우간다,35216,539,251,2
2021-01-02,아프리카,에리트레아,1320,68,3,2
2021-01-02,아프리카,앙골라,17553,182,405,6
2021-01-02,아프리카,마다가스카르,17714,0,261,0
2021-01-02,아프리카,소말리아,4714,0,130,0
2021-01-02,아프리카,짐바브웨,13867,242,363,3
2021-01-02,아프리카,카보베르데,11840,47,113,1
2021-01-02,아프리카,니제르,3208,98,102,6
2021-01-02,아프리카,차드,2113,36,104,0
2021-01-02,아프리카,모리셔스,527,0,10,0
2021-01-02,아프리카,잠비아,20725,263,388,2
2021-01-02,아프리카,감비아,3800,3,124,0
2021-01-02,아프리카,지부티,5831,7,61,0
2021-01-02,아프리카,탄자니아,509,0,21,0
2021-01-02,아프리카,라이베리아,1800,0,83,0
2021-01-02,아프리카,베냉,3251,0,44,0
2021-01-02,아프리카,세이쉘,267,41,0,0
2021-01-02,아프리카,르완다,8383,133,92,6
2021-01-02,아프리카,모리타니아,13642,0,324,0
2021-01-02,아프리카,에스와티니,9358,212,206,21
2021-01-02,아프리카,적도기니,5277,13,86,0
2021-01-02,아프리카,콩고,6200,0,100,0
2021-01-02,아프리카,중앙아프리카공화국,4963,0,63,0
2021-01-02,아프리카,나미비아,23941,608,205,9
2021-01-02,아프리카,케냐,96458,207,1670,3
2021-01-02,아프리카,기니,13722,15,81,1
2021-01-02,아프리카,가나,54771,0,335,0
2021-01-02,아프리카,가봉,9571,0,64,0
2021-01-02,아프리카,에티오피아,124264,408,1923,5
2021-01-02,아프리카,수단,23316,0,1468,0
2021-01-02,아프리카,코트디부아르,22250,0,137,0
2021-01-02,아프리카,DR콩고,17374,194,591,7
2021-01-02,아프리카,부르키나파소,6707,170,85,3
2021-01-02,아프리카,토고,3633,29,68,0
2021-01-02,아프리카,남아프리카공화국,1057561,18400,28469,436
2021-01-02,아프리카,카메룬,26848,571,448,0
2021-01-02,아프리카,세네갈,19140,195,410,8
2021-01-02,아프리카,나이지리아,87510,934,1289,11
2021-01-02,오세아니아,바누아투,1,0,0,0
2021-01-02,오세아니아,솔로몬제도,17,0,0,0
2021-01-02,오세아니아,마셜제도,4,0,0,0
2021-01-02,오세아니아,파푸아뉴기니,780,0,9,0
2021-01-02,오세아니아,피지,49,0,2,0
2021-01-02,오세아니아,뉴질랜드,1806,0,25,0
2021-01-02,오세아니아,호주,28408,27,909,0
2021-01-02,유럽,러시아,3186336,27039,57555,536
2021-01-02,유럽,코소보,51285,184,1325,3
2021-01-02,유럽,몬테네그로,48231,311,683,1
2021-01-02,유럽,터키,1394314,14380,20881,239
2021-01-02,유럽,사이프러스,22651,632,125,6
2021-01-02,유럽,알바니아,58316,589,1181,7
2021-01-02,유럽,몰도바,144818,977,2985,26
2021-01-02,유럽,몰타,12774,109,219,4
2021-01-02,유럽,불가리아,202266,1046,7576,61
2021-01-02,유럽,슬로바키아,184508,4965,2250,112
2021-01-02,유럽,세르비아,337923,2932,3211,48
2021-01-02,유럽,리히텐슈타인,2221,31,33,0
2021-01-02,유럽,슬로베니아,123950,4210,2842,160
2021-01-02,유럽,"보스니아 헤르체고비나",110985,0,4050,0
2021-01-02,유럽,헝가리,325278,2764,9667,130
2021-01-02,유럽,우크라이나,1064479,9432,18680,147
2021-01-02,유럽,폴란드,1305774,10896,28956,402
2021-01-02,유럽,안도라,8049,66,84,0
2021-01-02,유럽,라트비아,40904,1861,635,9
2021-01-02,유럽,포르투갈,413678,7627,6906,76
2021-01-02,유럽,체코,732022,13361,11711,131
2021-01-02,유럽,아일랜드,91779,1622,2237,11
2021-01-02,유럽,아르메니아,158722,531,2818,16
2021-01-02,유럽,룩셈부르크,46598,187,498,3
2021-01-02,유럽,모나코,875,22,3,0
2021-01-02,유럽,아이슬란드,5754,0,29,0
2021-01-02,유럽,아제르바이잔,218700,1064,2641,32
2021-01-02,유럽,산마리노,2333,0,59,0
2021-01-02,유럽,리투아니아,143903,3324,1589,131
2021-01-02,유럽,벨라루스,194284,1923,1424,10
2021-01-02,유럽,네덜란드,797516,9719,11439,109
2021-01-02,유럽,루마니아,632263,4322,15767,171
2021-01-02,유럽,노르웨이,48278,0,436,0
2021-01-02,유럽,북마케도니아,83329,535,2503,15
2021-01-02,유럽,그리스,138850,932,4838,50
2021-01-02,유럽,조지아,228410,990,2528,23
2021-01-02,유럽,에스토니아,28406,416,234,5
2021-01-02,유럽,덴마크,163479,2249,1298,42
2021-01-02,유럽,벨기에,646496,2254,19528,87
2021-01-02,유럽,스위스,450075,4360,7049,77
2021-01-02,유럽,스웨덴,437379,0,8727,0
2021-01-02,유럽,핀란드,36107,249,561,5
2021-01-02,유럽,크로아티아,212007,1170,3961,41
2021-01-02,유럽,오스트리아,359362,3011,6131,45
2021-01-02,유럽,스페인,1893502,0,50442,0
2021-01-02,유럽,영국,2488784,55892,73512,964
2021-01-02,유럽,프랑스,2576420,19712,64254,250
2021-01-02,유럽,독일,1742661,22924,33624,553
2021-01-02,유럽,이탈리아,2107166,23477,74159,555
2021-01-02,아메리카,수리남,6181,83,121,1
2021-01-02,아메리카,가이아나,6319,18,164,0
2021-01-02,아메리카,베네수엘라,113121,260,1025,4
2021-01-02,아메리카,파라과이,106958,822,2242,22
2021-01-02,아메리카,우루과이,18480,518,174,6
2021-01-02,아메리카,볼리비아,158372,1485,9149,14
2021-01-02,아메리카,아르헨티나,1613928,11765,43163,145
2021-01-02,아메리카,콜롬비아,1626461,11639,42909,289
2021-01-02,아메리카,칠레,608973,3023,16608,109
2021-01-02,아메리카,에콰도르,212512,1000,14034,11
2021-01-02,아메리카,페루,1012614,2118,37621,47
2021-01-02,아메리카,브라질,7619200,55649,193875,1194
2021-01-02,아메리카,세인트키츠네비스,32,0,0,0
2021-01-02,아메리카,도미니카연방,96,0,0,0
2021-01-02,아메리카,세인트빈센트그레나딘,119,4,0,0
2021-01-02,아메리카,세인트루시아,353,13,5,0
2021-01-02,아메리카,그레나다,134,3,0,0
2021-01-02,아메리카,앤티가바부다,159,1,5,0
2021-01-02,아메리카,바베이도스,372,0,7,0
2021-01-02,아메리카,바하마,7871,14,170,0
2021-01-02,아메리카,아이티,10015,16,236,0
2021-01-02,아메리카,트리니다드토바고,7132,0,126,0
2021-01-02,아메리카,자메이카,12827,34,302,0
2021-01-02,아메리카,쿠바,11863,176,146,1
2021-01-02,아메리카,도미니카공화국,170785,1206,2414,5
2021-01-02,아메리카,니카라구아,4829,0,165,0
2021-01-02,아메리카,벨리즈,10724,56,242,1
2021-01-02,아메리카,엘살바도르,45960,0,1336,9
2021-01-02,아메리카,코스타리카,168114,1315,2171,15
2021-01-02,아메리카,과테말라,138012,846,4813,10
2021-01-02,아메리카,온두라스,121827,915,3130,19
2021-01-02,아메리카,파나마,242744,4465,3975,42
2021-01-02,아메리카,멕시코,1413935,12406,124897,1052
2021-01-02,아메리카,캐나다,572982,7476,15472,94
2021-01-02,아메리카,미국,19346790,0,335789,0
2021-01-02,중동,예멘,2103,2,611,0
2021-01-02,중동,알제리,99610,299,2756,5
2021-01-02,중동,아랍에미리트,207822,1730,669,4
2021-01-02,중동,이스라엘,408277,0,3278,0
2021-01-02,중동,튀니지,139140,1924,4676,56
2021-01-02,중동,시리아,11434,90,711,7
2021-01-02,중동,사우디아라비아,362741,140,6223,9
2021-01-02,중동,카타르,143834,213,245,0
2021-01-02,중동,오만,128867,148,1499,2
2021-01-02,중동,모로코,439193,1861,7388,33
2021-01-02,중동,리비아,100277,342,1478,19
2021-01-02,중동,레바논,181503,3507,1455,12
2021-01-02,중동,쿠웨이트,150584,286,934,1
2021-01-02,중동,요르단,294494,1427,3834,19
2021-01-02,중동,이라크,595291,849,12813,5
2021-01-02,중동,이집트,138062,1418,7631,55
2021-01-02,중동,바레인,92675,250,352,0
2021-01-02,중동,이란,1225143,6390,55223,128
2021-01-02,아시아,타지키스탄,13182,0,89,0
2021-01-02,아시아,라오스,41,0,0,0
2021-01-02,아시아,미얀마,124630,890,2682,18
2021-01-02,아시아,동티모르,44,0,0,0
2021-01-02,아시아,키르기스스탄,81156,122,1356,1
2021-01-02,아시아,우즈베키스탄,77060,0,614,0
2021-01-02,아시아,카자흐스탄,200443,0,2749,0
2021-01-02,아시아,몽골,1215,20,0,0
2021-01-02,아시아,브루나이,152,0,3,0
2021-01-02,아시아,방글라데시,513510,1014,7559,28
2021-01-02,아시아,몰디브,13757,19,48,0
2021-01-02,아시아,부탄,670,15,0,0
2021-01-02,아시아,인도네시아,743198,8074,22138,194
2021-01-02,아시아,파키스탄,479715,2475,10105,58
2021-01-02,아시아,아프가니스탄,52513,183,2201,12
2021-01-02,아시아,스리랑카,43299,597,204,5
2021-01-02,아시아,네팔,260593,534,1856,9
2021-01-02,아시아,캄보디아,378,12,0,0
2021-01-02,아시아,필리핀,474064,1532,9244,14
2021-01-02,아시아,인도,10286709,20035,148994,256
2021-01-02,아시아,베트남,1465,9,35,0
2021-01-02,아시아,말레이시아,113010,2525,471,8
2021-01-02,아시아,태국,6884,194,61,0
2021-01-02,아시아,싱가포르,58599,30,29,0
2021-01-02,아시아,일본,234395,4091,3460,46
2021-01-02,아시아,마카오,46,0,0,0
2021-01-02,아시아,대만,802,3,7,0
2021-01-02,아시아,홍콩,8889,43,149,1
2021-01-02,아시아,중국,87071,0,4634,0
2021-01-02,아시아,한국,62593,824,942,25
2021-01-03,기타,"기타지역 영토",324404,2466,3925,42
2021-01-03,아프리카,레소토,2577,0,50,0
2021-01-03,아프리카,코모로,765,0,9,0
2021-01-03,아프리카,상투메프린시페,1014,0,17,0
2021-01-03,아프리카,남수단,3558,0,63,0
2021-01-03,아프리카,말라위,6583,0,189,0
2021-01-03,아프리카,시에라리온,2560,0,76,0
2021-01-03,아프리카,브룬디,822,0,2,0
2021-01-03,아프리카,보츠와나,14025,0,40,0
2021-01-03,아프리카,말리,7090,0,269,0
2021-01-03,아프리카,기니비사우,2447,0,45,0
2021-01-03,아프리카,모잠비크,18642,0,166,0
2021-01-03,아프리카,우간다,35216,0,251,0
2021-01-03,아프리카,에리트레아,1320,0,3,0
2021-01-03,아프리카,앙골라,17553,0,405,0
2021-01-03,아프리카,마다가스카르,17714,0,261,0
2021-01-03,아프리카,소말리아,4714,0,130,0
2021-01-03,아프리카,짐바브웨,13867,0,363,0
2021-01-03,아프리카,카보베르데,11840,0,113,0
2021-01-03,아프리카,니제르,3208,0,102,0
2021-01-03,아프리카,차드,2113,0,104,0
2021-01-03,아프리카,모리셔스,527,0,10,0
2021-01-03,아프리카,잠비아,20725,0,388,0
2021-01-03,아프리카,감비아,3800,0,124,0
2021-01-03,아프리카,지부티,5840,9,61,0
2021-01-03,아프리카,탄자니아,509,0,21,0
2021-01-03,아프리카,라이베리아,1800,0,83,0
2021-01-03,아프리카,베냉,3251,0,44,0
2021-01-03,아프리카,세이쉘,267,0,0,0
2021-01-03,아프리카,르완다,8383,0,92,0
2021-01-03,아프리카,모리타니아,13642,0,324,0
2021-01-03,아프리카,에스와티니,9358,0,206,0
2021-01-03,아프리카,적도기니,5277,0,86,0
2021-01-03,아프리카,콩고,6200,0,100,0
2021-01-03,아프리카,중앙아프리카공화국,4963,0,63,0
2021-01-03,아프리카,나미비아,23941,0,205,0
2021-01-03,아프리카,케냐,96458,0,1670,0
2021-01-03,아프리카,기니,13722,0,81,0
2021-01-03,아프리카,가나,54771,0,335,0
2021-01-03,아프리카,가봉,9571,0,64,0
2021-01-03,아프리카,에티오피아,124264,0,1923,0
2021-01-03,아프리카,수단,23316,0,1468,0
2021-01-03,아프리카,코트디부아르,22250,0,137,0
2021-01-03,아프리카,DR콩고,17374,0,591,0
2021-01-03,아프리카,부르키나파소,6707,0,85,0
2021-01-03,아프리카,토고,3633,0,68,0
2021-01-03,아프리카,남아프리카공화국,1057561,0,28469,0
2021-01-03,아프리카,카메룬,26848,0,448,0
2021-01-03,아프리카,세네갈,19140,0,410,0
2021-01-03,아프리카,나이지리아,87510,0,1289,0
2021-01-03,오세아니아,바누아투,1,0,0,0
2021-01-03,오세아니아,솔로몬제도,17,0,0,0
2021-01-03,오세아니아,마셜제도,4,0,0,0
2021-01-03,오세아니아,파푸아뉴기니,780,0,9,0
2021-01-03,오세아니아,피지,49,0,2,0
2021-01-03,오세아니아,뉴질랜드,1806,0,25,0
2021-01-03,오세아니아,호주,28427,19,909,0
2021-01-03,유럽,러시아,3212637,26301,58002,447
2021-01-03,유럽,코소보,51459,174,1326,1
2021-01-03,유럽,몬테네그로,48643,412,685,2
2021-01-03,유럽,터키,1406517,12203,21093,212
2021-01-03,유럽,사이프러스,22818,167,127,2
2021-01-03,유럽,알바니아,58316,0,1181,0
2021-01-03,유럽,몰도바,145258,440,3004,19
2021-01-03,유럽,몰타,12774,0,219,0
2021-01-03,유럽,불가리아,202540,274,7604,28
2021-01-03,유럽,슬로바키아,186244,1736,2250,0
2021-01-03,유럽,세르비아,339997,2074,3250,39
2021-01-03,유럽,리히텐슈타인,2221,0,33,0
2021-01-03,유럽,슬로베니아,124343,393,2877,35
2021-01-03,유럽,"보스니아 헤르체고비나",112143,1158,4086,36
2021-01-03,유럽,헝가리,326688,1410,9781,114
2021-01-03,유럽,우크라이나,1069517,5038,18731,51
2021-01-03,유럽,폴란드,1312780,7006,29058,102
2021-01-03,유럽,안도라,8117,68,84,0
2021-01-03,유럽,라트비아,41615,711,644,9
2021-01-03,유럽,포르투갈,420629,6951,6972,66
2021-01-03,유럽,체코,735469,3447,11827,116
2021-01-03,유럽,아일랜드,93532,1753,2248,11
2021-01-03,유럽,아르메니아,158722,0,2818,0
2021-01-03,유럽,룩셈부르크,46813,215,501,3
2021-01-03,유럽,모나코,885,10,3,0
2021-01-03,유럽,아이슬란드,5754,0,29,0
2021-01-03,유럽,아제르바이잔,219041,341,2670,29
2021-01-03,유럽,산마리노,2428,95,59,0
2021-01-03,유럽,리투아니아,145399,1496,1614,25
2021-01-03,유럽,벨라루스,196223,1939,1433,9
2021-01-03,유럽,네덜란드,805731,8215,11537,98
2021-01-03,유럽,루마니아,636201,3938,15841,74
2021-01-03,유럽,노르웨이,48278,0,436,0
2021-01-03,유럽,북마케도니아,83743,414,2510,7
2021-01-03,유럽,그리스,139447,597,4881,43
2021-01-03,유럽,조지아,228752,342,2572,44
2021-01-03,유럽,에스토니아,28789,383,241,7
2021-01-03,유럽,덴마크,165930,2451,1322,24
